"","HC_148","HC_025","HC_061","HC_128","HC_064","HC_066","HC_069","HC_105","HC_108","HC_109","HC_110","HC_111","HC_063","HC_130","HC_131","HC_132","HC_020","HC_178","HC_176","HC_027"
"PKIA",58.2175314792899,29.1199114318348,85.2667668193114,45.6017976100162,88.3051716239662,98.1476180662875,74.6880839127774,104.207154456831,109.244295423675,80.371310423614,71.2815541419199,109.603876548652,111.724819477649,71.3409578438573,72.5942822541385,87.1154995858585,41.8101483056915,73.9531685784927,28.6610572945711,60.0073318482048
"CCNE2",5.03029007629219,7.15119573143915,3.1748264241233,8.20689628349275,5.67151351861081,5.56698418045288,8.69286825943293,4.62025386974942,5.94928051289067,10.6479829165439,7.76173656154541,4.11982280669758,5.91184733478278,6.02742164608767,6.27888934188638,7.97468872078529,4.39029304842136,5.01046544702502,5.88340510978007,10.1401278354605
"ALDH1A1",34.4274898799447,16.2416987798787,36.1882470599317,44.6383793506497,38.9218634994819,32.0523331601833,44.0215764420001,55.537337332294,66.7060970822133,77.3865215115749,66.1511638768075,61.6590930129907,39.0000021100747,21.5603836586283,37.2002690461077,49.3633231816609,24.0214997882537,41.010985038799,26.3602843466124,40.2231685371399
"CDK20",18.1828833950378,15.7568719506286,21.054112075765,19.4110938183481,14.3257141985636,22.0823705824631,17.0513954319646,22.3940876339895,14.9490419686516,12.1403773725634,12.9068270852971,21.4286085583263,20.9916056133518,16.5408259599193,14.7510893442947,19.3465948366251,12.2382262178792,20.1720037477631,19.326492762853,15.2994883779649
"NR4A3",21.4364196370433,7.84813429848618,125.083386935384,27.5466257863322,42.4041140277482,19.8555769102819,25.3727735948406,44.5838783281602,41.0887985564517,21.2288919249521,37.3680574610766,52.0784312511067,21.1553183087766,32.8840315379996,59.4559213366981,57.5134550543035,50.5224915054085,35.1708645989224,23.0734658495285,12.7793391898955
"TLR4",86.4379203017916,63.9365381073585,52.5636675633045,40.9095938653236,55.7307014924632,71.0718313704485,41.3654222516178,50.9327986117614,57.6557751688357,64.0388137925687,78.2053759610257,67.8250023142897,66.1399289516006,48.9505685815054,32.3835868112359,45.8385107670738,16.946986119554,61.8825018197506,43.8790269360692,73.5010440362932
"SLC2A8",17.7213888926257,20.9384586882392,17.9031565270111,14.2550220228494,13.1355779420675,17.6962618342275,17.1071189464481,11.8177922110597,12.7075283476475,16.164811860706,13.7447418277367,13.2442625799204,15.4071836694185,14.7424804851849,12.8158152320695,15.1040604371673,11.5103019818715,12.5912345973941,14.6592104969939,14.823239712503
"OLFM1",459.694673852721,356.529529559801,577.173895555467,279.605388162822,479.169427121595,494.196368382931,385.922486808201,784.044509577103,514.570630650363,317.158974619703,243.156978152505,729.056562789252,322.350297291341,694.734452354793,723.900033200703,820.308380574858,466.121735001047,724.874447577883,178.77005805639,278.625312989631
"SORBS1",630.90913424762,441.70754312368,402.176508222777,432.200135799156,381.739877531159,333.259916620748,378.362663343267,313.800099561756,437.988390847034,369.443086011488,501.352320893004,378.318627870065,554.822324794491,435.831990107598,282.550020384887,340.886044058688,514.687930122185,365.422354988711,393.892328690527,790.572784666825
"CHST15",51.1335908672638,44.9373867361197,62.3745973401065,41.0880046540952,52.8508656125468,38.715844527695,52.231507575909,52.97576800995,51.9255899722838,26.7121839150463,46.3205149724045,51.373360904994,59.7187532310519,47.6857981377362,56.596016259743,40.5752162113555,40.2178140394247,52.3008000395631,68.6287702191105,48.081271517262
